Date,Province_Name,Latitude,Longitude,Temperature,Precipitation,Price
2022-08-24,Aceh,4.3685491,97.0253024,19.83,2.02,10750.0
2022-08-25,Aceh,4.3685491,97.0253024,19.19,44.6,10800.0
2022-08-26,Aceh,4.3685491,97.0253024,18.54,26.36,10800.0
2022-08-27,Aceh,4.3685491,97.0253024,18.73,0.74,10800.0
2022-08-28,Aceh,4.3685491,97.0253024,19.44,1.38,10800.0
2022-08-29,Aceh,4.3685491,97.0253024,19.51,25.09,10850.0
2022-08-30,Aceh,4.3685491,97.0253024,19.28,32.94,10850.0
2022-08-31,Aceh,4.3685491,97.0253024,19.32,5.41,10850.0
2022-09-01,Aceh,4.3685491,97.0253024,19.03,9.86,10850.0
2022-09-02,Aceh,4.3685491,97.0253024,18.81,18.7,10950.0
2022-09-03,Aceh,4.3685491,97.0253024,18.86,14.17,10950.0
2022-09-04,Aceh,4.3685491,97.0253024,18.95,0.59,10950.0
2022-09-05,Aceh,4.3685491,97.0253024,19.29,0.0,10950.0
2022-09-06,Aceh,4.3685491,97.0253024,19.53,2.23,10950.0
2022-09-07,Aceh,4.3685491,97.0253024,17.69,6.73,10950.0
2022-09-08,Aceh,4.3685491,97.0253024,19.15,0.01,11000.0
2022-09-09,Aceh,4.3685491,97.0253024,20.13,0.0,11050.0
2022-09-10,Aceh,4.3685491,97.0253024,20.05,0.0,11050.0
2022-09-11,Aceh,4.3685491,97.0253024,20.12,0.0,11050.0
2022-09-12,Aceh,4.3685491,97.0253024,20.04,0.0,11100.0
2022-09-13,Aceh,4.3685491,97.0253024,19.52,1.65,11100.0
2022-09-14,Aceh,4.3685491,97.0253024,18.31,0.76,11100.0
2022-09-15,Aceh,4.3685491,97.0253024,19.0,8.32,11100.0
2022-09-16,Aceh,4.3685491,97.0253024,19.76,0.68,11100.0
2022-09-19,Aceh,4.3685491,97.0253024,18.55,0.0,11100.0
2022-09-20,Aceh,4.3685491,97.0253024,18.46,0.03,11100.0
2022-09-21,Aceh,4.3685491,97.0253024,19.37,6.41,11050.0
2022-09-22,Aceh,4.3685491,97.0253024,18.45,0.18,11050.0
2022-09-23,Aceh,4.3685491,97.0253024,18.85,8.71,11050.0
2022-09-26,Aceh,4.3685491,97.0253024,19.19,2.7,11050.0
2022-09-27,Aceh,4.3685491,97.0253024,18.9,35.01,11050.0
2022-09-28,Aceh,4.3685491,97.0253024,18.65,28.52,11100.0
2022-09-29,Aceh,4.3685491,97.0253024,18.39,23.1,11100.0
2022-09-30,Aceh,4.3685491,97.0253024,19.01,7.62,11100.0
2022-10-01,Aceh,4.3685491,97.0253024,18.55,0.45,11100.0
2022-10-02,Aceh,4.3685491,97.0253024,18.99,0.94,11100.0
2022-10-03,Aceh,4.3685491,97.0253024,19.06,4.39,11100.0
2022-10-04,Aceh,4.3685491,97.0253024,18.79,124.95,11100.0
2022-10-05,Aceh,4.3685491,97.0253024,18.21,57.78,11100.0
2022-10-06,Aceh,4.3685491,97.0253024,19.04,35.05,11100.0
2022-10-07,Aceh,4.3685491,97.0253024,18.44,50.77,11050.0
2022-10-08,Aceh,4.3685491,97.0253024,18.75,7.28,11050.0
2022-10-09,Aceh,4.3685491,97.0253024,19.28,0.01,11050.0
2022-10-10,Aceh,4.3685491,97.0253024,19.74,0.0,11050.0
2022-10-11,Aceh,4.3685491,97.0253024,19.75,0.45,11050.0
2022-10-12,Aceh,4.3685491,97.0253024,19.14,0.33,11050.0
2022-10-13,Aceh,4.3685491,97.0253024,19.64,0.13,11050.0
2022-10-14,Aceh,4.3685491,97.0253024,19.41,14.84,11100.0
2022-10-15,Aceh,4.3685491,97.0253024,18.69,17.66,11100.0
2022-10-17,Aceh,4.3685491,97.0253024,18.55,2.98,11050.0
2022-10-18,Aceh,4.3685491,97.0253024,18.2,13.75,11100.0
2022-10-19,Aceh,4.3685491,97.0253024,18.07,20.98,11100.0
2022-10-20,Aceh,4.3685491,97.0253024,19.03,21.27,11100.0
2022-10-21,Aceh,4.3685491,97.0253024,19.12,21.28,11100.0
2022-10-22,Aceh,4.3685491,97.0253024,19.0,1.44,11100.0
2022-10-24,Aceh,4.3685491,97.0253024,19.15,0.18,11100.0
2022-10-25,Aceh,4.3685491,97.0253024,19.48,4.39,11100.0
2022-10-26,Aceh,4.3685491,97.0253024,19.41,15.4,11050.0
2022-10-27,Aceh,4.3685491,97.0253024,19.36,4.24,11050.0
2022-10-28,Aceh,4.3685491,97.0253024,19.67,5.2,11050.0
2022-10-29,Aceh,4.3685491,97.0253024,19.67,8.63,11050.0
2022-10-30,Aceh,4.3685491,97.0253024,19.43,13.44,11050.0
2022-10-31,Aceh,4.3685491,97.0253024,19.15,7.47,11050.0
2022-11-01,Aceh,4.3685491,97.0253024,19.52,1.76,11050.0
